60.526,8.3052,199.45,60.991,152.26
60.489,8.2986,200.27,60.99,152.24
60.452,8.3088,200.43,60.989,152.4
60.415,8.2931,200.44,60.989,152.36
60.378,8.2949,201.98,60.988,152.32
60.341,8.32,202.01,60.987,152.28
60.304,8.312,202.26,60.986,152.23
60.267,8.2871,202.03,60.985,152.3
60.229,8.2958,202.22,60.984,152.42
60.192,8.2861,201.84,60.983,152.53
60.155,8.2714,201.69,60.983,152.37
60.118,8.3085,204.08,60.982,152.23
60.081,8.3301,204.24,60.981,152.22
60.044,8.3252,204.18,60.98,152.21
60.024,8.3147,203.59,60.979,152.26
60.024,8.2874,203.77,60.978,152.4
60.024,8.2981,205.39,60.977,152.33
60.024,8.2853,205.23,60.977,152.24
60.024,8.2824,205.13,60.976,152.14
60.024,8.2794,204.9,60.975,152.04
60.019,8.2868,204.72,60.974,152.44
60.007,8.2966,204.93,60.973,152.32
59.996,8.3018,205.08,60.972,152.15
59.984,8.3312,205.03,59.997,151.86
59.973,8.3125,205.1,59.804,151.79
59.961,8.309,204.97,59.61,151.76
59.95,8.3076,205.01,59.416,151.83
59.938,8.3103,204.95,59.324,151.9
59.927,8.3132,204.72,59.236,151.82
59.915,8.3154,204.57,59.148,151.74
59.903,8.3236,204.67,59.059,151.85
59.87,8.309,204.81,58.971,152.45
59.835,8.3131,207.04,60.016,152.57
59.801,8.3105,207.16,60.334,152.41
59.766,8.314,208.05,60.415,152.24
59.732,8.309,209.89,60.488,152.08
59.697,8.3207,209.88,60.562,151.88
59.663,8.2967,210.12,60.635,151.76
59.628,8.2866,210.3,60.708,151.56
59.594,8.3006,210,60.782,151.64
59.539,8.2749,209.98,60.855,151.66
59.362,8.2887,209.98,60.928,151.24
59.652,8.2907,205.59,60.105,151.21
59.703,8.2807,208.04,60.165,151.55
59.754,8.2993,207.93,60.263,151.58
59.805,8.3052,207.72,60.362,151.68
59.857,8.295,207.83,60.461,151.8
59.908,8.308,208.85,60.533,151.71
59.629,8.2707,207.71,60.599,152.09
59.814,8.3015,208.43,60.665,151.77
59.903,8.3025,208.23,60.731,152.11
59.992,8.2872,207.76,60.796,152.27
59.667,8.3097,207.95,60.862,151.74
59.903,8.2801,208.19,60.928,152.03
59.903,8.2991,208.15,60.994,151.71
59.903,8.3024,207.86,60.189,151.91
59.903,8.2994,207.73,60.186,151.81
59.903,8.3051,207.82,60.184,151.59
59.903,8.3207,207.79,60.182,151.54
59.903,8.3388,207.9,60.179,152.13
59.903,8.3168,208.52,60.177,152.21
59.933,8.2939,208.12,60.175,152.21
59.964,8.2824,207.98,60.172,152.23
59.994,8.2798,208.04,60.17,152.26
60.025,8.2925,208.29,60.168,152.63
60.056,8.2693,208.28,60.165,152.39
60.086,8.2783,207.83,60.163,152.32
60.117,8.2957,208.02,60.16,152.24
60.148,8.2987,207.96,60.158,152.28
60.178,8.3055,207.82,60.156,152.34
60.209,8.3126,208.26,60.153,152.25
60.24,8.3207,208.21,60.151,152.16
60.271,8.3351,208.14,60.149,152.19
60.301,8.3325,207.7,60.146,152.27
60.332,8.307,207.81,60.144,152.38
60.363,8.3071,207.87,60.142,152.49
59.918,8.2648,207.59,60.139,152.52
59.937,8.2712,207.99,60.137,152.46
59.956,8.2889,207.88,60.135,152.62
59.974,8.3039,207.89,60.132,152.73
